state,y1982,y1983,y1984,y1985,y1986,y1987,y1988,y1989,y1990,y1992,y1993,y1995,y1996,y1997,y1998,y1999,y2000,y2001,y2002,y2003,y2004,y2005,y2006,y2007,y2008,y2009,y2010,y2011,y2012,y2013,y2014,y2015,y2016,y2017,y2018,y2019,y2020,y2021,y2022
Johor,3.5,4.2,4.5,5.3,6.8,6.3,5.4,4.6,3.7,2.2,2.9,2.6,2.1,1.7,1.7,3.0,2.2,3.4,2.9,3.5,3.6,3.3,2.1,2.0,2.2,3.2,2.4,2.5,3.1,2.8,2.6,3.1,3.6,3.4,3.0,2.7,3.5,3.8,3.3
Kedah,3.7,3.8,5.6,7.1,8.1,8.0,7.4,5.7,4.4,3.7,3.6,2.0,2.5,2.5,3.4,3.2,2.9,3.6,3.2,3.3,3.8,3.7,3.8,3.3,3.8,4.2,2.8,3.5,2.9,2.4,2.7,2.6,2.9,2.8,2.9,2.8,4.2,3.9,3.3
Kelantan,4.8,6.2,5.5,6.0,6.8,6.5,7.7,6.3,3.4,5.3,4.7,3.5,3.3,3.6,4.1,3.2,2.6,3.1,3.9,3.2,4.1,3.4,2.4,2.7,2.9,2.4,2.4,2.0,2.3,2.8,3.3,3.6,3.8,3.6,4.0,4.0,4.3,4.2,3.7
Melaka,4.0,2.8,5.4,5.5,9.5,8.0,8.1,6.0,4.2,3.3,3.2,2.3,1.5,1.7,2.5,1.9,1.3,1.8,2.9,2.8,1.6,1.2,1.3,2.1,1.1,2.4,1.0,0.7,0.5,0.7,0.9,1.0,0.9,1.0,1.1,1.1,2.2,2.0,1.6
Negeri Sembilan,2.9,3.8,4.9,4.7,7.0,7.6,6.0,4.9,3.8,3.3,2.8,3.1,2.5,2.6,3.6,3.8,3.4,3.2,3.7,3.5,3.5,3.6,4.0,3.6,3.1,3.9,3.1,3.0,3.0,3.1,3.0,3.1,2.7,2.8,3.0,3.1,3.8,4.2,3.7
Pahang,3.4,2.7,4.6,4.3,4.9,5.1,6.2,3.7,3.1,2.8,3.7,3.6,2.6,3.0,2.6,3.0,2.7,3.1,2.9,3.6,3.3,3.3,2.4,3.2,2.6,3.0,2.9,2.6,2.7,2.8,2.7,2.9,2.6,2.9,2.6,2.9,3.1,3.3,2.5
Perak,5.4,5.1,5.4,6.1,8.7,8.0,8.1,5.5,4.1,3.7,4.3,3.9,3.2,2.2,3.9,4.3,3.5,4.0,3.9,4.8,3.3,3.3,3.5,2.9,3.8,3.5,3.0,2.6,3.0,3.8,3.4,3.2,3.4,3.7,3.3,3.4,4.8,5.3,4.6
Perlis,4.1,3.2,4.6,7.6,8.0,6.6,7.6,6.4,4.3,2.7,1.4,1.4,2.0,2.3,4.3,3.4,2.9,3.5,3.1,4.4,3.272251308900524,2.9,3.2,3.0,2.9,3.3,3.3,4.0,3.9,3.7,3.3,2.9,2.9,3.4,3.4,3.3,4.3,4.3,3.9
Pulau Pinang,3.5,3.8,3.6,5.0,8.4,6.5,6.7,3.9,2.8,1.7,2.2,1.4,0.7,1.1,2.3,2.4,1.9,2.5,2.2,1.7,1.8,2.1,1.7,2.1,2.0,2.5,2.2,1.9,2.0,1.7,1.6,1.6,2.1,2.1,2.2,2.0,3.5,3.6,2.8
Sabah,3.0,4.1,6.0,6.4,8.2,9.0,8.2,7.4,9.0,6.2,7.1,5.5,3.9,4.6,4.9,5.6,5.8,6.6,5.9,5.4,6.5,6.4,5.7,5.5,4.9,5.5,5.5,5.6,5.6,5.3,4.9,5.0,5.4,5.6,5.8,5.8,8.0,8.2,7.5
Sarawak,2.8,5.2,6.7,7.1,9.0,9.8,10.3,9.6,9.9,7.8,7.0,4.8,4.4,3.9,5.0,4.6,4.3,4.4,4.0,3.9,3.8,4.1,4.1,4.3,5.3,4.6,4.4,4.1,3.5,3.7,3.1,3.5,3.3,3.0,3.2,3.1,4.3,4.5,3.7
Selangor,2.2,2.3,4.0,4.7,5.7,5.6,5.9,3.9,2.1,2.1,2.7,2.0,0.9,1.0,1.8,1.9,2.0,2.4,3.0,3.2,2.7,3.1,3.2,3.0,3.1,3.6,3.2,2.4,2.3,2.4,2.0,2.4,3.2,2.8,2.8,2.9,4.3,4.3,3.6
Terengganu,2.7,2.5,6.8,7.2,9.5,11.7,9.4,12.3,6.9,5.5,7.0,5.9,3.3,3.6,4.0,3.9,3.0,2.7,3.2,2.9,3.2,3.1,3.6,2.6,3.4,3.8,3.7,3.2,3.0,3.4,4.1,4.0,4.2,4.5,4.8,3.5,4.1,4.0,3.6
W.P. Kuala Lumpur,1.9,2.0,3.8,3.5,5.5,5.7,5.9,3.7,2.6,2.4,3.0,1.7,1.8,1.4,2.5,2.9,2.6,2.7,2.8,3.4,2.9,2.3,2.8,2.9,2.7,2.9,3.1,3.0,2.7,3.3,2.9,3.3,3.3,3.1,2.4,2.6,4.0,4.2,3.1
W.P. Labuan,,,,,,,,,,3.3,5.9,4.7,5.1,3.3,2.5,4.0,4.7,5.4,3.2,4.5,5.0,5.1,9.4,4.5,5.6,5.6,6.0,4.2,4.6,4.1,5.1,5.0,7.8,8.5,7.1,6.9,7.2,7.4,7.2
W.P. Putrajaya,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1,1.5,1.2,1.2,1.0,1.7,1.5,1.3,1.2,1.5,1.6,1.0
