,year,net,gdp_capita
0,2008,23.92450105,31259.015
1,2009,5.1212371899999996,30185.653
2,2010,29.18321117,31782.997
3,2011,37.32458397,32920.119
4,2012,28.536899990000002,34195.51
5,2013,38.17474733,34966.496
6,2014,35.6000284,36469.753
7,2015,39.37658307,37739.0
8,2016,47.02482947,38861.0
9,2017,40.41903805,40620.0
10,2018,30.740983290000003,42115.0
11,2019,32.36419502,43783.0
12,2020,13.280965890000001,41490.0
13,2021,50.43792356,42697.078
14,2022,75.41735729999999,46305.584
15,2023,40.40315131,46975.643

2011, right
2012, left
2013, right
2014, left
2016, right
2018, right
2020, left
2022, right
