,date,type,value,desc_en
0,2023-01-01,p0,1822904.0,GDP at purchasers' prices
1,2023-01-01,p1,141930.0,Agriculture
2,2023-01-01,p1.1,99904.0,Crops
3,2023-01-01,p1.1.1,2090.0,Rubber
4,2023-01-01,p1.1.2,67566.0,Oil palm
5,2023-01-01,p1.1.3,2355.0,Paddy
6,2023-01-01,p1.1.4,14832.0,Vegetables
7,2023-01-01,p1.1.5,5337.0,Fruits
8,2023-01-01,p1.1.6,6489.0,Food crops
9,2023-01-01,p1.1.7,1235.0,Others 
10,2023-01-01,p1.2,20935.0,Livestock
11,2023-01-01,p1.2.1,13299.0,Poultry
12,2023-01-01,p1.2.2 ,1778.0,Cattle
13,2023-01-01,p1.2.3,5859.0,Other livestocks
14,2023-01-01,p1.3,7203.0,Forestry and logging
15,2023-01-01,p1.4,13888.0,Fishing
16,2023-01-01,p1.4.1,8346.0,Marine fishing
17,2023-01-01,p1.4.2,5542.0,Aquaculture
18,2023-01-01,p2,155983.0,Mining and quarrying
19,2023-01-01,p2.1,65615.0,Crude oil and condensate
20,2023-01-01,p2.2,78914.0,Natural gas 
21,2023-01-01,p2.3,11454.0,Other mining & quarrying and supporting services
22,2023-01-01,p3,419584.0,Manufacturing
23,2023-01-01,p3.1,55408.0,"Oils, food processing, beverages & tobacco"
24,2023-01-01,p3.1.1,15119.0,Vegetable and animal oils & fats
25,2023-01-01,p3.1.2,30377.0,Food processing
26,2023-01-01,p3.1.3,5915.0,Beverages
27,2023-01-01,p3.1.4,3997.0,Tobacco products
28,2023-01-01,p3.2,6816.0,"Textiles, wearing apparel and leather products"
29,2023-01-01,p3.2.1,5686.0,Textile and wearing apparel
30,2023-01-01,p3.2.2,1130.0,Leather and related products
31,2023-01-01,p3.3,20307.0,"Wood products, furniture, paper, printing"
32,2023-01-01,p3.3.1,8674.0,Wood products 
33,2023-01-01,p3.3.2,7056.0,Paper and paper products
34,2023-01-01,p3.3.3,4577.0,Printing and reproduction of recorded media 
35,2023-01-01,p3.4,129380.0,"Petroleum, chemicals, rubber, plastics"
36,2023-01-01,p3.4.1,63169.0,Refined petroleum products
37,2023-01-01,p3.4.2,40581.0,Chemicals & chemical products and pharmaceutical products 
38,2023-01-01,p3.4.3,12834.0,Rubber products
39,2023-01-01,p3.4.4,12796.0,Plastics products
40,2023-01-01,p3.5,42677.0,"Non-metallic minerals & metal products"
41,2023-01-01,p3.5.1,11867.0,Non-metallic mineral products
42,2023-01-01,p3.5.2,11951.0,Basic metals
43,2023-01-01,p3.5.3,18859.0,Fabricated metal products
44,2023-01-01,p3.6,124353.0,"Electrical, electronic and optical products"
45,2023-01-01,p3.6.1,10899.0,Machinery and equipment
46,2023-01-01,p3.6.2,6990.0,Computers and peripheral equipment
47,2023-01-01,p3.6.3,10767.0,Electrical equipment
48,2023-01-01,p3.6.4,89202.0,"Electronic components & boards, communication equipment and consumer electronics"
49,2023-01-01,p3.6.5,6495.0,"Manufacture of medical, precision & optical instrument, watches and clocks"
50,2023-01-01,p3.7,40644.0,"Transport equipment, other manufacturing and repair"
51,2023-01-01,p3.7.1,30676.0,Motor vehicles and transport equipment
52,2023-01-01,p3.7.2,4957.0,Furniture
53,2023-01-01,p3.7.3,5011.0,Other manufacturing and repair & installation of machinery and equipment
54,2023-01-01,p4,65949.0,Construction
55,2023-01-01,p4.1,28568.0,Buildings
56,2023-01-01,p4.1.1,12861.0,Residential buildings
57,2023-01-01,p4.1.2,15707.0,Non-residential buildings
58,2023-01-01,p4.2,20198.0,Civil engineering
59,2023-01-01,p4.3,17183.0,Specialised construction activities
60,2023-01-01,p5,1018972.0,Services
61,2023-01-01,p5.1,220312.0,"Utilities, transportation, storage, information & communication"
62,2023-01-01,p5.1.1,34069.0,Electricity and gas
63,2023-01-01,p5.1.2,11099.0,"Water, sewerage and waste management"
64,2023-01-01,p5.1.3,69957.0,Transportation and storage
65,2023-01-01,p5.1.3.1,18226.0,Land transport
66,2023-01-01,p5.1.3.2,8209.0,Water transport
67,2023-01-01,p5.1.3.3,5087.0,Air transport
68,2023-01-01,p5.1.3.4,11719.0,Port and airport operation
69,2023-01-01,p5.1.3.5,11008.0,Highway operation
70,2023-01-01,p5.1.3.6,11536.0,Support activities for transportation
71,2023-01-01,p5.1.3.7,4173.0,Postal and courier 
72,2023-01-01,p5.1.4,105187.0,Information and communication
73,2023-01-01,p5.1.4.1,9373.0,Publishing and broadcasting activities 
74,2023-01-01,p5.1.4.2,73160.0,Telecommunications
75,2023-01-01,p5.1.4.3,22653.0,Computer and information service activities
76,2023-01-01,p5.2,383267.0,"Wholesale & retail trade, food & beverage, accommodation"
77,2023-01-01,p5.2.1,321738.0,Wholesale and retail trade 
78,2023-01-01,p5.2.1.1,130967.0,Wholesale trade
79,2023-01-01,p5.2.1.2,156141.0,Retail trade
80,2023-01-01,p5.2.1.3,34630.0,Motor vehicles
81,2023-01-01,p5.2.2,49245.0,Food and beverage
82,2023-01-01,p5.2.3,12284.0,Accommodation
83,2023-01-01,p5.3,186191.0,"Finance, insurance, real estate, business services"
84,2023-01-01,p5.3.1,82368.0,Finance
85,2023-01-01,p5.3.1.1,68697.0,Monetary intermediation
86,2023-01-01,p5.3.1.2,13671.0,Other financial intermediation and activities auxiliary to finance
87,2023-01-01,p5.3.2,25700.0,Insurance
88,2023-01-01,p5.3.2.1,25102.0,Insurance and pension funding
89,2023-01-01,p5.3.2.2,598.0,Activities auxiliary to insurance
90,2023-01-01,p5.3.3,24374.0,Real estate
91,2023-01-01,p5.3.4,53749.0,Business services
92,2023-01-01,p5.3.4.1,38932.0,"Professional, scientific and technical "
93,2023-01-01,p5.3.4.2,14817.0,Administrative and support services
94,2023-01-01,p5.4,80290.0,Other services
95,2023-01-01,p5.4.1,14703.0,Private health services
96,2023-01-01,p5.4.2,13511.0,Private education services
97,2023-01-01,p5.4.3,36926.0,Owner-occupied dwellings
98,2023-01-01,p5.4.4,672.0,Non-profit institutions serving households
99,2023-01-01,p5.4.5,1305.0,Domestic services of households
100,2023-01-01,p5.4.6,13173.0,Other services not elsewhere classified
101,2023-01-01,p5.5,148911.0,Government services
102,2023-01-01,p5.5.01,23897.0,General public services
103,2023-01-01,p5.5.02,9014.0,Defence
104,2023-01-01,p5.5.03,11665.0,Public order and safety
105,2023-01-01,p5.5.04,20127.0,Economic affairs
106,2023-01-01,p5.5.05,424.0,Environmental protection
107,2023-01-01,p5.5.06,3896.0,Housing and community amenities
108,2023-01-01,p5.5.07,23129.0,Health
109,2023-01-01,p5.5.08,2832.0,"Recreation, culture and religion"
110,2023-01-01,p5.5.09,51566.0,Education
111,2023-01-01,p5.5.10,2361.0,Social protection
112,2023-01-01,p6,20487.0,(plus) Import duties
